SearchGuid,LocalDateKey,LocalTimeKey,input_file_name,LeadCreatedProduct
12330b15-c0c2-4547-b15a-437efdf51131,20230520,14,/mnt/gp15datalake/ExternalLanding/2023_05_20_18_38_48_eddyprodgp15_ingress_event_hub_p1_0.avro,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
13696452-5d1b-4a45-b57a-23b9bcb66ac3,20230520,14,/mnt/gp15datalake/ExternalLanding/2023_05_20_18_38_48_eddyprodgp15_ingress_event_hub_p1_0.avro,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
1b72b936-0502-4cb7-af80-377cab020de4,20230520,14,/mnt/gp15datalake/ExternalLanding/2023_05_20_18_38_48_eddyprodgp15_ingress_event_hub_p1_0.avro,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
33ba8db4-3520-402a-98e7-702b511c98a9,20230520,14,/mnt/gp15datalake/ExternalLanding/2023_05_20_18_38_48_eddyprodgp15_ingress_event_hub_p1_0.avro,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
fb65389a-10c6-4a02-87bf-47839e9ac8e5,20230520,14,/mnt/gp15datalake/ExternalLanding/2023_05_20_18_38_48_eddyprodgp15_ingress_event_hub_p1_0.avro,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
bc2eaf89-0502-4919-9828-8a63166f12c0,20230520,14,/mnt/gp15datalake/ExternalLanding/2023_05_20_18_38_48_eddyprodgp15_ingress_event_hub_p1_0.avro,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
dffed5dd-0684-4369-9180-9c9b914789e0,20230520,14,/mnt/gp15datalake/ExternalLanding/2023_05_20_18_38_48_eddyprodgp15_ingress_event_hub_p1_0.avro,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
e57a60fc-5a0e-4f98-af60-072ce0d3c8c1,20230520,14,/mnt/gp15datalake/ExternalLanding/2023_05_20_18_38_48_eddyprodgp15_ingress_event_hub_p1_0.avro,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
eb962fb6-7525-439a-95ae-b069a1819d0a,20230520,14,/mnt/gp15datalake/ExternalLanding/2023_05_20_18_38_48_eddyprodgp15_ingress_event_hub_p1_0.avro,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
94e922fc-ea5b-431d-94ce-34252ec1cf1f,20230520,14,/mnt/gp15datalake/ExternalLanding/2023_05_20_18_38_48_eddyprodgp15_ingress_event_hub_p1_0.avro,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
959a3db1-2f94-43a3-a858-739c669409a7,20230520,14,/mnt/gp15datalake/ExternalLanding/2023_05_20_18_38_48_eddyprodgp15_ingress_event_hub_p1_0.avro,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
a2b53b46-653c-46e5-995a-6ca70c63d3e2,20230520,14,/mnt/gp15datalake/ExternalLanding/2023_05_20_18_38_48_eddyprodgp15_ingress_event_hub_p1_0.avro,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
b4b2c458-c040-42e9-be65-8706c9aab8c1,20230520,14,/mnt/gp15datalake/ExternalLanding/2023_05_20_18_38_48_eddyprodgp15_ingress_event_hub_p1_0.avro,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
45820c76-513a-4c85-9b5f-4aed5e2ef4d5,20230520,14,/mnt/gp15datalake/ExternalLanding/2023_05_20_18_38_48_eddyprodgp15_ingress_event_hub_p1_0.avro,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
5b2ef5ea-4b84-4cb1-aa9b-a65e8b063de4,20230520,14,/mnt/gp15datalake/ExternalLanding/2023_05_20_18_38_48_eddyprodgp15_ingress_event_hub_p1_0.avro,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
6e94f5b7-b09c-49c1-aebc-92cbe976b74e,20230520,14,/mnt/gp15datalake/ExternalLanding/2023_05_20_18_38_48_eddyprodgp15_ingress_event_hub_p1_0.avro,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
70d2d9ec-9693-4219-b0fe-5b90fa08a5b8,20230520,14,/mnt/gp15datalake/ExternalLanding/2023_05_20_18_43_48_eddyprodgp15_ingress_event_hub_p1_0.avro,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
725c88a8-951d-48aa-ac6d-9ed222993399,20230520,14,/mnt/gp15datalake/ExternalLanding/2023_05_20_18_38_48_eddyprodgp15_ingress_event_hub_p1_0.avro,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
